address,held_from,sold_at,holding_period,Gain/Loss,Planning Area,property_tenure,transaction_price_dollars,project_name,area_sqft,sale_type,Year,Gain/Loss (SGD),held_year,held_month,sold_year,sold_month,months_held,Original Price (SGD)
1 RIVERVALE LINK #05-14,1999-09-01,2006-04-17,6.5,-76096,Sengkang,99 yrs from 18/12/1997,460000,THE RIVERVALE,1302,Resale,2006,"-76,096",1999,9,2006,4,79,"536,096"
1 RIVERVALE LINK #05-15,1998-06-16,2007-03-23,9.0,-146000,Sengkang,99 yrs from 18/12/1997,450000,THE RIVERVALE,1313,Resale,2007,"-146,000",1998,6,2007,3,105,"596,000"
1 RIVERVALE LINK #05-16,1998-08-03,2005-11-16,7.5,-107500,Sengkang,99 yrs from 18/12/1997,495000,THE RIVERVALE,1302,Resale,2005,"-107,500",1998,8,2005,11,87,"602,500"
1 RIVERVALE LINK #05-16,2005-11-16,2015-07-14,9.5,405000,Sengkang,99 yrs from 18/12/1997,900000,THE RIVERVALE,1302,Resale,2015,"405,000",2005,11,2015,7,116,"495,000"
1 RIVERVALE LINK #05-16,2015-07-14,2024-07-25,9.0,518888,Sengkang,99 yrs from 18/12/1997,1418888,THE RIVERVALE,1302,Resale,2024,"518,888",2015,7,2024,7,108,"900,000"
1 RIVERVALE LINK #06-02,1999-07-13,2010-09-03,11.0,211000,Sengkang,99 yrs from 18/12/1997,810000,THE RIVERVALE,1313,Resale,2010,"211,000",1999,7,2010,9,134,"599,000"
1 RIVERVALE LINK #06-06,2008-06-30,2023-08-31,15.0,630000,Sengkang,99 yrs from 18/12/1997,1260000,THE RIVERVALE,1259,Resale,2023,"630,000",2008,6,2023,8,182,"630,000"
1 RIVERVALE LINK #06-08,1998-06-18,2010-02-02,11.5,114788,Sengkang,99 yrs from 18/12/1997,686888,THE RIVERVALE,1249,Resale,2010,"114,788",1998,6,2010,2,140,"572,100"
1 RIVERVALE LINK #06-10,1998-06-23,2021-12-15,23.5,526200,Sengkang,99 yrs from 18/12/1997,1168000,THE RIVERVALE,1367,Resale,2021,"526,200",1998,6,2021,12,282,"641,800"
1 RIVERVALE LINK #06-12,1998-06-25,2013-01-18,14.5,434300,Sengkang,99 yrs from 18/12/1997,1023800,THE RIVERVALE,1292,Resale,2013,"434,300",1998,6,2013,1,175,"589,500"
1 RIVERVALE LINK #06-14,1999-09-03,2010-12-09,11.5,298912,Sengkang,99 yrs from 18/12/1997,838000,THE RIVERVALE,1302,Resale,2010,"298,912",1999,9,2010,12,135,"539,088"
1 RIVERVALE LINK #06-14,2010-12-09,2016-12-06,6.0,27000,Sengkang,99 yrs from 18/12/1997,865000,THE RIVERVALE,1302,Resale,2016,"27,000",2010,12,2016,12,72,"838,000"
1 RIVERVALE LINK #06-15,1999-05-01,2012-12-03,13.5,489000,Sengkang,99 yrs from 18/12/1997,1088000,THE RIVERVALE,1313,Resale,2012,"489,000",1999,5,2012,12,163,"599,000"
1 RIVERVALE LINK #07-01,1998-06-26,2010-11-08,12.5,244600,Sengkang,99 yrs from 18/12/1997,858000,THE RIVERVALE,1313,Resale,2010,"244,600",1998,6,2010,11,149,"613,400"
1 RIVERVALE LINK #07-02,1999-09-01,2009-04-23,9.5,28950,Sengkang,99 yrs from 18/12/1997,600000,THE RIVERVALE,1313,Resale,2009,"28,950",1999,9,2009,4,115,"571,050"
1 RIVERVALE LINK #07-02,2009-04-23,2011-01-18,1.5,242000,Sengkang,99 yrs from 18/12/1997,842000,THE RIVERVALE,1313,Resale,2011,"242,000",2009,4,2011,1,21,"600,000"
1 RIVERVALE LINK #07-03,1999-09-21,2017-10-31,18.0,306660,Sengkang,99 yrs from 18/12/1997,872000,THE RIVERVALE,1302,Resale,2017,"306,660",1999,9,2017,10,217,"565,340"
1 RIVERVALE LINK #07-05,1998-06-25,2022-04-11,24.0,457500,Sengkang,99 yrs from 18/12/1997,1050000,THE RIVERVALE,1292,Resale,2022,"457,500",1998,6,2022,4,286,"592,500"
1 RIVERVALE LINK #07-08,1998-06-23,2007-04-05,9.0,-107100,Sengkang,99 yrs from 18/12/1997,468000,THE RIVERVALE,1249,Resale,2007,"-107,100",1998,6,2007,4,106,"575,100"
1 RIVERVALE LINK #07-08,2007-04-05,2021-09-16,14.5,500000,Sengkang,99 yrs from 18/12/1997,968000,THE RIVERVALE,1249,Resale,2021,"500,000",2007,4,2021,9,173,"468,000"
1 RIVERVALE LINK #07-10,1998-06-16,2018-03-12,20.0,305208,Sengkang,99 yrs from 18/12/1997,950008,THE RIVERVALE,1367,Resale,2018,"305,208",1998,6,2018,3,237,"644,800"
1 RIVERVALE LINK #07-11,1999-03-10,2011-11-10,12.5,343700,Sengkang,99 yrs from 18/12/1997,900000,THE RIVERVALE,1259,Resale,2011,"343,700",1999,3,2011,11,152,"556,300"
1 RIVERVALE LINK #07-12,1998-06-25,2018-08-01,20.0,357500,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1292,Resale,2018,"357,500",1998,6,2018,8,242,"592,500"
1 RIVERVALE LINK #07-14,1999-08-01,2016-07-21,17.0,325920,Sengkang,99 yrs from 18/12/1997,868000,THE RIVERVALE,1302,Resale,2016,"325,920",1999,8,2016,7,203,"542,080"
1 RIVERVALE LINK #08-01,1998-06-18,2009-02-02,10.5,-19200,Sengkang,99 yrs from 18/12/1997,600000,THE RIVERVALE,1313,Resale,2009,"-19,200",1998,6,2009,2,128,"619,200"
1 RIVERVALE LINK #08-01,2009-02-02,2010-10-21,1.5,250000,Sengkang,99 yrs from 18/12/1997,850000,THE RIVERVALE,1313,Resale,2010,"250,000",2009,2,2010,10,20,"600,000"
1 RIVERVALE LINK #08-01,2010-10-21,2014-03-11,3.5,180000,Sengkang,99 yrs from 18/12/1997,1030000,THE RIVERVALE,1313,Resale,2014,"180,000",2010,10,2014,3,41,"850,000"
1 RIVERVALE LINK #08-02,1999-02-26,2007-04-23,8.0,-112800,Sengkang,99 yrs from 18/12/1997,495000,THE RIVERVALE,1313,Resale,2007,"-112,800",1999,2,2007,4,98,"607,800"
1 RIVERVALE LINK #08-02,2007-04-23,2017-07-26,10.5,405000,Sengkang,99 yrs from 18/12/1997,900000,THE RIVERVALE,1313,Resale,2017,"405,000",2007,4,2017,7,123,"495,000"
1 RIVERVALE LINK #08-02,2017-07-26,2023-12-14,6.5,450000,Sengkang,99 yrs from 18/12/1997,1350000,THE RIVERVALE,1313,Resale,2023,"450,000",2017,7,2023,12,77,"900,000"
1 RIVERVALE LINK #08-04,2016-09-13,2023-03-07,6.5,500000,Sengkang,99 yrs from 18/12/1997,1400000,THE RIVERVALE,1313,Resale,2023,"500,000",2016,9,2023,3,78,"900,000"
1 RIVERVALE LINK #08-06,1999-01-13,2006-08-13,7.5,-121300,Sengkang,99 yrs from 18/12/1997,438000,THE RIVERVALE,1259,Resale,2006,"-121,300",1999,1,2006,8,91,"559,300"
1 RIVERVALE LINK #08-06,2006-08-13,2016-05-27,10.0,400000,Sengkang,99 yrs from 18/12/1997,838000,THE RIVERVALE,1259,Resale,2016,"400,000",2006,8,2016,5,117,"438,000"
1 RIVERVALE LINK #08-08,1998-06-16,2014-11-18,16.5,369300,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1249,Resale,2014,"369,300",1998,6,2014,11,197,"580,700"
1 RIVERVALE LINK #08-08,2014-11-18,2021-10-28,7.0,120000,Sengkang,99 yrs from 18/12/1997,1070000,THE RIVERVALE,1249,Resale,2021,"120,000",2014,11,2021,10,83,"950,000"
1 RIVERVALE LINK #08-09,2011-09-28,2017-08-11,6.0,-23000,Sengkang,99 yrs from 18/12/1997,885000,THE RIVERVALE,1249,Resale,2017,"-23,000",2011,9,2017,8,71,"908,000"
1 RIVERVALE LINK #08-10,1998-07-15,2018-02-12,19.5,347200,Sengkang,99 yrs from 18/12/1997,998000,THE RIVERVALE,1367,Resale,2018,"347,200",1998,7,2018,2,235,"650,800"
1 RIVERVALE LINK #08-11,1998-06-22,2006-10-11,8.5,-135300,Sengkang,99 yrs from 18/12/1997,424000,THE RIVERVALE,1259,Resale,2006,"-135,300",1998,6,2006,10,100,"559,300"
1 RIVERVALE LINK #08-11,2006-10-11,2017-04-25,10.5,446000,Sengkang,99 yrs from 18/12/1997,870000,THE RIVERVALE,1259,Resale,2017,"446,000",2006,10,2017,4,126,"424,000"
1 RIVERVALE LINK #08-12,1998-06-25,2011-11-03,13.5,331300,Sengkang,99 yrs from 18/12/1997,920800,THE RIVERVALE,1292,Resale,2011,"331,300",1998,6,2011,11,161,"589,500"
1 RIVERVALE LINK #08-13,1998-06-24,2016-05-26,18.0,296300,Sengkang,99 yrs from 18/12/1997,905000,THE RIVERVALE,1302,Resale,2016,"296,300",1998,6,2016,5,215,"608,700"
1 RIVERVALE LINK #08-14,1999-09-20,2021-01-06,21.5,399928,Sengkang,99 yrs from 18/12/1997,945000,THE RIVERVALE,1302,Resale,2021,"399,928",1999,9,2021,1,256,"545,072"
1 RIVERVALE LINK #08-15,1999-01-27,2006-10-19,7.5,-142800,Sengkang,99 yrs from 18/12/1997,465000,THE RIVERVALE,1313,Resale,2006,"-142,800",1999,1,2006,10,93,"607,800"
1 RIVERVALE LINK #08-15,2006-10-19,2010-12-28,4.0,403000,Sengkang,99 yrs from 18/12/1997,868000,THE RIVERVALE,1313,Resale,2010,"403,000",2006,10,2010,12,50,"465,000"
1 RIVERVALE LINK #08-15,2010-12-28,2020-01-10,9.0,122000,Sengkang,99 yrs from 18/12/1997,990000,THE RIVERVALE,1313,Resale,2020,"122,000",2010,12,2020,1,109,"868,000"
1 RIVERVALE LINK #08-16,1998-05-08,2008-09-22,10.5,20700,Sengkang,99 yrs from 18/12/1997,635000,THE RIVERVALE,1302,Resale,2008,"20,700",1998,5,2008,9,124,"614,300"
1 RIVERVALE LINK #09-01,1998-06-25,2011-07-20,13.0,321300,Sengkang,99 yrs from 18/12/1997,945000,THE RIVERVALE,1313,Resale,2011,"321,300",1998,6,2011,7,157,"623,700"
1 RIVERVALE LINK #09-05,1999-09-01,2008-12-14,9.5,30240,Sengkang,99 yrs from 18/12/1997,582000,THE RIVERVALE,1292,Resale,2008,"30,240",1999,9,2008,12,111,"551,760"
1 RIVERVALE LINK #09-05,2008-12-14,2018-03-22,9.5,343000,Sengkang,99 yrs from 18/12/1997,925000,THE RIVERVALE,1292,Resale,2018,"343,000",2008,12,2018,3,111,"582,000"
1 RIVERVALE LINK #09-08,1998-06-23,2009-09-11,11.0,79800,Sengkang,99 yrs from 18/12/1997,665000,THE RIVERVALE,1249,Resale,2009,"79,800",1998,6,2009,9,135,"585,200"
1 RIVERVALE LINK #09-08,2009-09-11,2010-12-30,1.5,178000,Sengkang,99 yrs from 18/12/1997,843000,THE RIVERVALE,1249,Resale,2010,"178,000",2009,9,2010,12,15,"665,000"
1 RIVERVALE LINK #09-09,1998-06-25,2008-01-17,9.5,76800,Sengkang,99 yrs from 18/12/1997,662000,THE RIVERVALE,1249,Resale,2008,"76,800",1998,6,2008,1,115,"585,200"
1 RIVERVALE LINK #09-09,2008-01-17,2018-03-26,10.0,268000,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1249,Resale,2018,"268,000",2008,1,2018,3,122,"662,000"
1 RIVERVALE LINK #09-12,1999-08-20,2007-01-22,7.5,-126260,Sengkang,99 yrs from 18/12/1997,442000,THE RIVERVALE,1292,Resale,2007,"-126,260",1999,8,2007,1,89,"568,260"
1 RIVERVALE LINK #09-13,1999-08-01,2014-03-14,14.5,385248,Sengkang,99 yrs from 18/12/1997,940000,THE RIVERVALE,1302,Resale,2014,"385,248",1999,8,2014,3,175,"554,752"
1 RIVERVALE LINK #09-15,1999-06-07,2011-11-21,12.5,315700,Sengkang,99 yrs from 18/12/1997,928000,THE RIVERVALE,1313,Resale,2011,"315,700",1999,6,2011,11,149,"612,300"
1 RIVERVALE LINK #09-16,1998-06-17,2007-05-24,9.0,-113800,Sengkang,99 yrs from 18/12/1997,505000,THE RIVERVALE,1302,Resale,2007,"-113,800",1998,6,2007,5,107,"618,800"
1 RIVERVALE LINK #10-01,1998-06-01,2011-12-15,13.5,316800,Sengkang,99 yrs from 18/12/1997,945000,THE RIVERVALE,1313,Resale,2011,"316,800",1998,6,2011,12,162,"628,200"
1 RIVERVALE LINK #10-02,1999-07-12,2010-09-03,11.0,243200,Sengkang,99 yrs from 18/12/1997,860000,THE RIVERVALE,1313,Resale,2010,"243,200",1999,7,2010,9,134,"616,800"
1 RIVERVALE LINK #10-04,1999-09-04,2015-01-19,15.5,380584,Sengkang,99 yrs from 18/12/1997,960000,THE RIVERVALE,1313,Resale,2015,"380,584",1999,9,2015,1,184,"579,416"
1 RIVERVALE LINK #10-05,1999-06-14,2021-06-14,22.0,365500,Sengkang,99 yrs from 18/12/1997,970000,THE RIVERVALE,1292,Resale,2021,"365,500",1999,6,2021,6,264,"604,500"
1 RIVERVALE LINK #10-06,1998-07-01,2008-06-09,10.0,71700,Sengkang,99 yrs from 18/12/1997,640000,THE RIVERVALE,1259,Resale,2008,"71,700",1998,7,2008,6,119,"568,300"
1 RIVERVALE LINK #10-07,1998-06-01,2012-05-02,14.0,333200,Sengkang,99 yrs from 18/12/1997,993000,THE RIVERVALE,1367,Resale,2012,"333,200",1998,6,2012,5,167,"659,800"
1 RIVERVALE LINK #10-07,2012-05-02,2019-11-01,7.5,107000,Sengkang,99 yrs from 18/12/1997,1100000,THE RIVERVALE,1367,Resale,2019,"107,000",2012,5,2019,11,90,"993,000"
1 RIVERVALE LINK #10-08,1998-06-15,2006-09-19,8.5,-119700,Sengkang,99 yrs from 18/12/1997,470000,THE RIVERVALE,1249,Resale,2006,"-119,700",1998,6,2006,9,99,"589,700"
1 RIVERVALE LINK #10-08,2006-09-19,2012-08-08,6.0,480000,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1249,Resale,2012,"480,000",2006,9,2012,8,71,"470,000"
1 RIVERVALE LINK #10-11,1999-09-14,2010-12-20,11.5,288480,Sengkang,99 yrs from 18/12/1997,820000,THE RIVERVALE,1259,Resale,2010,"288,480",1999,9,2010,12,135,"531,520"
1 RIVERVALE LINK #10-15,1999-06-03,2018-02-05,18.5,313200,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1313,Resale,2018,"313,200",1999,6,2018,2,224,"616,800"
1 RIVERVALE LINK #10-15,2018-02-05,2019-10-17,1.5,15000,Sengkang,99 yrs from 18/12/1997,945000,THE RIVERVALE,1313,Resale,2019,"15,000",2018,2,2019,10,20,"930,000"
1 RIVERVALE LINK #10-16,1998-06-23,2008-05-27,10.0,46700,Sengkang,99 yrs from 18/12/1997,670000,THE RIVERVALE,1302,Resale,2008,"46,700",1998,6,2008,5,119,"623,300"
1 RIVERVALE LINK #11-01,1998-06-25,2007-06-01,9.0,-87700,Sengkang,99 yrs from 18/12/1997,545000,THE RIVERVALE,1313,Resale,2007,"-87,700",1998,6,2007,6,108,"632,700"
1 RIVERVALE LINK #11-01,2007-06-01,2014-06-24,7.0,450000,Sengkang,99 yrs from 18/12/1997,995000,THE RIVERVALE,1313,Resale,2014,"450,000",2007,6,2014,6,84,"545,000"
1 RIVERVALE LINK #11-04,1999-08-17,2007-10-17,8.0,3984,Sengkang,99 yrs from 18/12/1997,588000,THE RIVERVALE,1313,Resale,2007,"3,984",1999,8,2007,10,98,"584,016"
1 RIVERVALE LINK #11-05,1999-09-13,2021-05-27,21.5,369440,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1292,Resale,2021,"369,440",1999,9,2021,5,260,"560,560"
1 RIVERVALE LINK #11-06,2005-11-08,2012-04-20,6.5,450000,Sengkang,99 yrs from 18/12/1997,880000,THE RIVERVALE,1259,Resale,2012,"450,000",2005,11,2012,4,77,"430,000"
1 RIVERVALE LINK #11-12,1999-10-01,2008-08-29,9.0,17088,Sengkang,99 yrs from 18/12/1997,620000,THE RIVERVALE,1292,Resale,2008,"17,088",1999,10,2008,8,106,"602,912"
1 RIVERVALE LINK #11-13,1999-09-01,2011-02-25,11.5,284448,Sengkang,99 yrs from 18/12/1997,848000,THE RIVERVALE,1302,Resale,2011,"284,448",1999,9,2011,2,137,"563,552"
1 RIVERVALE LINK #11-15,1999-06-10,2010-05-17,11.0,216700,Sengkang,99 yrs from 18/12/1997,838000,THE RIVERVALE,1313,Resale,2010,"216,700",1999,6,2010,5,131,"621,300"
1 RIVERVALE LINK #11-15,2010-05-17,2014-07-23,4.0,172000,Sengkang,99 yrs from 18/12/1997,1010000,THE RIVERVALE,1313,Resale,2014,"172,000",2010,5,2014,7,50,"838,000"
1 RIVERVALE LINK #12-03,1998-06-01,2014-04-07,16.0,361800,Sengkang,99 yrs from 18/12/1997,980000,THE RIVERVALE,1302,Resale,2014,"361,800",1998,6,2014,4,190,"618,200"
1 RIVERVALE LINK #12-04,1999-06-11,2013-12-27,14.5,368400,Sengkang,99 yrs from 18/12/1997,980000,THE RIVERVALE,1313,Resale,2013,"368,400",1999,6,2013,12,174,"611,600"
1 RIVERVALE LINK #12-05,1999-09-01,2015-07-29,16.0,365040,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1292,Resale,2015,"365,040",1999,9,2015,7,190,"564,960"
1 RIVERVALE LINK #12-06,1999-08-25,2021-11-24,22.5,417128,Sengkang,99 yrs from 18/12/1997,960000,THE RIVERVALE,1259,Resale,2021,"417,128",1999,8,2021,11,267,"542,872"
1 RIVERVALE LINK #12-07,1998-06-25,2014-02-24,15.5,351200,Sengkang,99 yrs from 18/12/1997,1020000,THE RIVERVALE,1367,Resale,2014,"351,200",1998,6,2014,2,188,"668,800"
1 RIVERVALE LINK #12-08,1998-06-10,2012-07-11,14.0,351300,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1249,Resale,2012,"351,300",1998,6,2012,7,169,"598,700"
1 RIVERVALE LINK #12-08,2012-07-11,2019-06-17,7.0,10000,Sengkang,99 yrs from 18/12/1997,960000,THE RIVERVALE,1249,Resale,2019,"10,000",2012,7,2019,6,83,"950,000"
1 RIVERVALE LINK #12-10,1998-06-22,2012-05-16,14.0,311200,Sengkang,99 yrs from 18/12/1997,980000,THE RIVERVALE,1367,Resale,2012,"311,200",1998,6,2012,5,167,"668,800"
1 RIVERVALE LINK #12-11,1998-06-22,2012-07-23,14.0,372700,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1259,Resale,2012,"372,700",1998,6,2012,7,169,"577,300"
1 RIVERVALE LINK #12-12,1999-09-18,2015-10-19,16.0,335312,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1292,Resale,2015,"335,312",1999,9,2015,10,193,"594,688"
1 RIVERVALE LINK #12-15,1999-01-23,2014-08-14,15.5,369200,Sengkang,99 yrs from 18/12/1997,995000,THE RIVERVALE,1313,Resale,2014,"369,200",1999,1,2014,8,187,"625,800"
1 RIVERVALE LINK #13-01,1998-07-06,2019-08-08,21.0,344300,Sengkang,99 yrs from 18/12/1997,986000,THE RIVERVALE,1313,Resale,2019,"344,300",1998,7,2019,8,253,"641,700"
1 RIVERVALE LINK #13-04,1999-09-06,2010-12-03,11.0,256784,Sengkang,99 yrs from 18/12/1997,850000,THE RIVERVALE,1313,Resale,2010,"256,784",1999,9,2010,12,135,"593,216"
1 RIVERVALE LINK #13-04,2010-12-03,2015-06-26,4.5,118000,Sengkang,99 yrs from 18/12/1997,968000,THE RIVERVALE,1313,Resale,2015,"118,000",2010,12,2015,6,54,"850,000"
1 RIVERVALE LINK #13-04,2015-06-26,2022-12-07,7.5,289000,Sengkang,99 yrs from 18/12/1997,1257000,THE RIVERVALE,1313,Resale,2022,"289,000",2015,6,2022,12,90,"968,000"
1 RIVERVALE LINK #13-09,1998-06-20,2013-07-09,15.0,486800,Sengkang,99 yrs from 18/12/1997,1090000,THE RIVERVALE,1249,Resale,2013,"486,800",1998,6,2013,7,181,"603,200"
1 RIVERVALE LINK #13-16,1998-06-25,2006-08-04,8.0,-148800,Sengkang,99 yrs from 18/12/1997,488000,THE RIVERVALE,1302,Resale,2006,"-148,800",1998,6,2006,8,98,"636,800"
1 RIVERVALE LINK #13-16,2006-08-04,2010-06-03,4.0,332000,Sengkang,99 yrs from 18/12/1997,820000,THE RIVERVALE,1302,Resale,2010,"332,000",2006,8,2010,6,46,"488,000"
1 RIVERVALE LINK #13-16,2010-06-03,2020-10-21,10.5,140000,Sengkang,99 yrs from 18/12/1997,960000,THE RIVERVALE,1302,Resale,2020,"140,000",2010,6,2020,10,124,"820,000"
1 RIVERVALE LINK #13-16,2020-10-21,2022-10-27,2.0,370000,Sengkang,99 yrs from 18/12/1997,1330000,THE RIVERVALE,1302,Resale,2022,"370,000",2020,10,2022,10,24,"960,000"
1 RIVERVALE LINK #14-01,1998-06-19,2005-12-16,7.5,-162900,Sengkang,99 yrs from 18/12/1997,481800,THE RIVERVALE,1313,Resale,2005,"-162,900",1998,6,2005,12,90,"644,700"
1 RIVERVALE LINK #14-03,1999-09-22,2018-08-17,19.0,367478,Sengkang,99 yrs from 18/12/1997,975000,THE RIVERVALE,1302,Resale,2018,"367,478",1999,9,2018,8,227,"607,522"
1 RIVERVALE LINK #14-04,1999-09-01,2023-07-24,24.0,704620,Sengkang,99 yrs from 18/12/1997,1288000,THE RIVERVALE,1313,Resale,2023,"704,620",1999,9,2023,7,286,"583,380"
1 RIVERVALE LINK #14-05,2010-02-02,2012-08-15,2.5,235000,Sengkang,99 yrs from 18/12/1997,950000,THE RIVERVALE,1292,Resale,2012,"235,000",2010,2,2012,8,30,"715,000"
1 RIVERVALE LINK #14-06,1999-09-06,2014-02-28,14.5,387218,Sengkang,99 yrs from 18/12/1997,975000,THE RIVERVALE,1259,Resale,2014,"387,218",1999,9,2014,2,173,"587,782"
1 RIVERVALE LINK #14-12,1999-08-31,2011-03-28,11.5,285584,Sengkang,99 yrs from 18/12/1997,888000,THE RIVERVALE,1292,Resale,2011,"285,584",1999,8,2011,3,139,"602,416"
1 RIVERVALE LINK #14-13,1999-08-27,2010-11-15,11.0,242656,Sengkang,99 yrs from 18/12/1997,818000,THE RIVERVALE,1302,Resale,2010,"242,656",1999,8,2010,11,135,"575,344"
1 RIVERVALE LINK #14-13,2010-11-15,2016-08-19,6.0,72000,Sengkang,99 yrs from 18/12/1997,890000,THE RIVERVALE,1302,Resale,2016,"72,000",2010,11,2016,8,69,"818,000"
1 RIVERVALE LINK #14-15,1999-06-14,2011-09-26,12.5,346700,Sengkang,99 yrs from 18/12/1997,980000,THE RIVERVALE,1313,Resale,2011,"346,700",1999,6,2011,9,147,"633,300"
1 RIVERVALE LINK #15-03,1999-09-24,2010-12-20,11.0,508774,Sengkang,99 yrs from 18/12/1997,1428000,THE RIVERVALE,2723,Resale,2010,"508,774",1999,9,2010,12,135,"919,226"
1 RIVERVALE LINK #15-06,1999-09-01,2008-10-17,9.0,38652,Sengkang,99 yrs from 18/12/1997,620000,THE RIVERVALE,1259,Resale,2008,"38,652",1999,9,2008,10,109,"581,348"
1 RIVERVALE LINK #15-07,1998-06-25,2011-03-24,13.0,527400,Sengkang,99 yrs from 18/12/1997,1380000,THE RIVERVALE,2691,Resale,2011,"527,400",1998,6,2011,3,153,"852,600"
1 RIVERVALE LINK #15-11,1999-09-10,2011-05-09,11.5,271320,Sengkang,99 yrs from 18/12/1997,850000,THE RIVERVALE,1259,Resale,2011,"271,320",1999,9,2011,5,140,"578,680"
1 RIVERVALE LINK #15-12,1999-09-01,2019-06-17,20.0,263512,Sengkang,99 yrs from 18/12/1997,872000,THE RIVERVALE,1292,Resale,2019,"263,512",1999,9,2019,6,237,"608,488"
1 RIVERVALE LINK #15-13,1999-08-24,2006-12-07,7.5,-112240,Sengkang,99 yrs from 18/12/1997,480000,THE RIVERVALE,1335,Resale,2006,"-112,240",1999,8,2006,12,88,"592,240"
1 RIVERVALE LINK #15-14,1999-08-30,2005-12-15,6.5,-131872,Sengkang,99 yrs from 18/12/1997,455000,THE RIVERVALE,1335,Resale,2005,"-131,872",1999,8,2005,12,76,"586,872"
1 RIVERVALE LINK #16-05,1999-08-23,2006-06-26,7.0,-125520,Sengkang,99 yrs from 18/12/1997,450000,THE RIVERVALE,1292,Resale,2006,"-125,520",1999,8,2006,6,82,"575,520"
1 RIVERVALE LINK #16-11,1999-09-18,2006-12-22,7.5,-127490,Sengkang,99 yrs from 18/12/1997,468000,THE RIVERVALE,1259,Resale,2006,"-127,490",1999,9,2006,12,87,"595,490"
1 RIVERVALE LINK #16-11,2006-12-22,2018-05-31,11.5,462000,Sengkang,99 yrs from 18/12/1997,930000,THE RIVERVALE,1259,Resale,2018,"462,000",2006,12,2018,5,137,"468,000"
1 SEMBAWANG CRESCENT #02-01,2015-02-05,2023-07-14,8.5,433000,Sembawang,99 yrs from 18/03/2013,1250000,SKYPARK RESIDENCES,1152,Resale,2023,"433,000",2015,2,2023,7,101,"817,000"
1 SEMBAWANG CRESCENT #02-03,2015-05-29,2023-09-08,8.5,588200,Sembawang,99 yrs from 18/03/2013,1588000,SKYPARK RESIDENCES,1302,Resale,2023,"588,200",2015,5,2023,9,100,"999,800"
1 SEMBAWANG CRESCENT #02-04,2016-02-01,2023-04-05,7.0,632388,Sembawang,99 yrs from 18/03/2013,1638888,SKYPARK RESIDENCES,1313,Resale,2023,"632,388",2016,2,2023,4,86,"1,006,500"
1 SEMBAWANG CRESCENT #04-02,2015-05-13,2021-08-17,6.5,329000,Sembawang,99 yrs from 18/03/2013,1165000,SKYPARK RESIDENCES,1141,Resale,2021,"329,000",2015,5,2021,8,75,"836,000"
1 SEMBAWANG CRESCENT #04-04,2015-07-27,2021-10-06,6.0,366830,Sembawang,99 yrs from 18/03/2013,1370000,SKYPARK RESIDENCES,1313,Resale,2021,"366,830",2015,7,2021,10,75,"1,003,170"
1 SEMBAWANG CRESCENT #05-01,2015-08-11,2021-08-25,6.0,215000,Sembawang,99 yrs from 18/03/2013,1060000,SKYPARK RESIDENCES,1152,Resale,2021,"215,000",2015,8,2021,8,72,"845,000"
1 SEMBAWANG CRESCENT #05-02,2014-09-09,2021-08-26,7.0,321000,Sembawang,99 yrs from 18/03/2013,1200000,SKYPARK RESIDENCES,1141,Resale,2021,"321,000",2014,9,2021,8,83,"879,000"
1 SEMBAWANG CRESCENT #06-02,2014-09-30,2022-05-11,7.5,376500,Sembawang,99 yrs from 18/03/2013,1228000,SKYPARK RESIDENCES,1141,Resale,2022,"376,500",2014,9,2022,5,92,"851,500"
1 SEMBAWANG CRESCENT #07-01,2015-03-02,2018-06-22,3.5,85000,Sembawang,99 yrs from 18/03/2013,940000,SKYPARK RESIDENCES,1152,Resale,2018,"85,000",2015,3,2018,6,39,"855,000"
1 SEMBAWANG CRESCENT #07-01,2018-06-22,2024-04-11,6.0,575000,Sembawang,99 yrs from 18/03/2013,1515000,SKYPARK RESIDENCES,1152,Resale,2024,"575,000",2018,6,2024,4,70,"940,000"
1 SEMBAWANG CRESCENT #07-03,2014-04-21,2023-11-29,9.5,673500,Sembawang,99 yrs from 18/03/2013,1700000,SKYPARK RESIDENCES,1302,Resale,2023,"673,500",2014,4,2023,11,115,"1,026,500"
1 SEMBAWANG CRESCENT #08-01,2015-08-05,2023-09-05,8.0,580000,Sembawang,99 yrs from 18/03/2013,1460000,SKYPARK RESIDENCES,1152,Resale,2023,"580,000",2015,8,2023,9,97,"880,000"
1 SEMBAWANG CRESCENT #10-02,2014-06-18,2024-06-03,10.0,639000,Sembawang,99 yrs from 18/03/2013,1515000,SKYPARK RESIDENCES,1141,Resale,2024,"639,000",2014,6,2024,6,120,"876,000"
