address,held_from,sold_at,holding_period,Gain/Loss,Planning Area,property_tenure,transaction_price_dollars,project_name,area_sqft,sale_type,Year,Gain/Loss (SGD),held_year,held_month,sold_year,sold_month,months_held,Original Price (SGD)
60 CHOA CHU KANG AVENUE 5 #06-03,2017-03-11,2024-08-28,7.5,759500,Choa Chu Kang,99 yrs from 27/11/2015,1585000,INZ RESIDENCE,1109,Resale,2024,"759,500",2017,3,2024,8,89,"825,500"
60 CHOA CHU KANG AVENUE 5 #13-03,2017-06-27,2024-09-25,7.5,716000,Choa Chu Kang,99 yrs from 27/11/2015,1618000,INZ RESIDENCE,1109,Resale,2024,"716,000",2017,6,2024,9,87,"902,000"
60 CHOA CHU KANG AVENUE 5 #13-04,2017-10-21,2024-05-30,6.5,650000,Choa Chu Kang,99 yrs from 27/11/2015,1530000,INZ RESIDENCE,1066,Resale,2024,"650,000",2017,10,2024,5,79,"880,000"
60 WOODLANDS DRIVE 16 #01-22,2007-09-17,2014-09-04,7.0,303000,Woodlands,99 yrs from 13/09/2004,910000,LA CASA,1249,Resale,2014,"303,000",2007,9,2014,9,84,"607,000"
60 WOODLANDS DRIVE 16 #01-23,2006-08-14,2019-08-15,13.0,344020,Woodlands,99 yrs from 13/09/2004,858000,LA CASA,1238,Resale,2019,"344,020",2006,8,2019,8,156,"513,980"
60 WOODLANDS DRIVE 16 #01-23,2019-08-15,2023-10-24,4.0,362000,Woodlands,99 yrs from 13/09/2004,1220000,LA CASA,1238,Resale,2023,"362,000",2019,8,2023,10,50,"858,000"
60 WOODLANDS DRIVE 16 #01-24,2007-09-21,2013-05-27,5.5,447000,Woodlands,99 yrs from 13/09/2004,1100000,LA CASA,1292,Resale,2013,"447,000",2007,9,2013,5,68,"653,000"
60 WOODLANDS DRIVE 16 #01-24,2013-05-27,2023-08-21,10.0,100000,Woodlands,99 yrs from 13/09/2004,1200000,LA CASA,1292,Resale,2023,"100,000",2013,5,2023,8,123,"1,100,000"
60 WOODLANDS DRIVE 16 #02-22,2007-11-28,2013-06-12,5.5,310110,Woodlands,99 yrs from 13/09/2004,900000,LA CASA,1141,Resale,2013,"310,110",2007,11,2013,6,67,"589,890"
60 WOODLANDS DRIVE 16 #02-22,2013-06-12,2024-08-26,11.0,170000,Woodlands,99 yrs from 13/09/2004,1070000,LA CASA,1141,Resale,2024,"170,000",2013,6,2024,8,134,"900,000"
60 WOODLANDS DRIVE 16 #03-21,2007-10-19,2013-05-13,5.5,292400,Woodlands,99 yrs from 13/09/2004,888000,LA CASA,1141,Resale,2013,"292,400",2007,10,2013,5,67,"595,600"
60 WOODLANDS DRIVE 16 #03-22,2007-11-29,2013-06-10,5.5,284690,Woodlands,99 yrs from 13/09/2004,878000,LA CASA,1141,Resale,2013,"284,690",2007,11,2013,6,67,"593,310"
60 WOODLANDS DRIVE 16 #03-24,2007-05-03,2013-05-14,6.0,342500,Woodlands,99 yrs from 13/09/2004,920000,LA CASA,1184,Resale,2013,"342,500",2007,5,2013,5,72,"577,500"
